disabled	student114
disabled	student125
disabled	student142
disabled	student155
disabled	student156
disabled	student173
disabled	student178
disabled	student181
disabled	student184
disabled	student194
disabled	student197
disabled	student207
disabled	student208
disabled	student214
disabled	student234
disabled	student242
disabled	student246
disabled	student248
disabled	student253
disabled	student26
disabled	student269
disabled	student281
disabled	student286
disabled	student288
disabled	student295
disabled	student313
disabled	student316
disabled	student336
disabled	student349
disabled	student351
disabled	student352
disabled	student364
disabled	student37
disabled	student371
disabled	student407
disabled	student41
disabled	student410
disabled	student436
disabled	student440
disabled	student458
disabled	student465
disabled	student470
disabled	student472
disabled	student474
disabled	student476
disabled	student479
disabled	student485
disabled	student50
disabled	student502
disabled	student505
disabled	student512
disabled	student559
disabled	student560
disabled	student565
disabled	student580
disabled	student594
disabled	student598
disabled	student600
disabled	student602
disabled	student628
disabled	student634
disabled	student64
disabled	student65
disabled	student650
disabled	student659
disabled	student663
disabled	student673
disabled	student68
disabled	student680
disabled	student698
disabled	student700
disabled	student732
disabled	student733
disabled	student734
disabled	student738
disabled	student748
disabled	student762
disabled	student770
disabled	student805
disabled	student823
disabled	student83
disabled	student830
disabled	student831
disabled	student838
disabled	student852
disabled	student870
disabled	student881
disabled	student885
disabled	student909
disabled	student913
disabled	student918
disabled	student92
disabled	student963
disabled	student976
disabled	student992
enlist	student40	fire_department
enlist	student51	fire_department
enlist	student109	fire_department
enlist	student139	fire_department
enlist	student148	fire_department
enlist	student167	fire_department
enlist	student168	fire_department
enlist	student183	fire_department
enlist	student211	fire_department
enlist	student224	fire_department
enlist	student233	fire_department
enlist	student241	fire_department
enlist	student262	fire_department
enlist	student267	fire_department
enlist	student280	fire_department
enlist	student286	fire_department
enlist	student288	fire_department
enlist	student304	fire_department
enlist	student313	fire_department
enlist	student328	fire_department
enlist	student329	fire_department
enlist	student340	fire_department
enlist	student349	fire_department
enlist	student372	fire_department
enlist	student404	fire_department
enlist	student423	fire_department
enlist	student428	fire_department
enlist	student458	fire_department
enlist	student474	fire_department
enlist	student500	fire_department
enlist	student539	fire_department
enlist	student560	fire_department
enlist	student562	fire_department
enlist	student568	fire_department
enlist	student585	fire_department
enlist	student613	fire_department
enlist	student634	fire_department
enlist	student647	fire_department
enlist	student668	fire_department
enlist	student674	fire_department
enlist	student702	fire_department
enlist	student714	fire_department
enlist	student758	fire_department
enlist	student764	fire_department
enlist	student768	fire_department
enlist	student807	fire_department
enlist	student854	fire_department
enlist	student888	fire_department
enlist	student908	fire_department
enlist	student985	fire_department
enlist	student35	fire_department
enlist	student53	fire_department
enlist	student160	fire_department
enlist	student161	fire_department
enlist	student201	fire_department
enlist	student252	fire_department
enlist	student287	fire_department
enlist	student298	fire_department
enlist	student310	fire_department
enlist	student321	fire_department
enlist	student325	fire_department
enlist	student375	fire_department
enlist	student424	fire_department
enlist	student455	fire_department
enlist	student462	fire_department
enlist	student514	fire_department
enlist	student528	fire_department
enlist	student540	fire_department
enlist	student566	fire_department
enlist	student683	fire_department
enlist	student715	fire_department
enlist	student771	fire_department
enlist	student839	fire_department
enlist	student865	fire_department
enlist	student876	fire_department
enlist	student880	fire_department
enlist	student931	fire_department
enlist	student939	fire_department
enlist	student1000	air_force
enlist	student999	fire_department
enlist	student996	navy
enlist	student993	fire_department
enlist	student992	marines
enlist	student985	navy
enlist	student981	air_force
enlist	student980	fire_department
enlist	student977	foreign_legion
enlist	student975	army
enlist	student962	marines
enlist	student959	air_force
